num__Age,num__Fare,cat__Sex_female,cat__Sex_male,cat__Embarked_C,cat__Embarked_Q,cat__Embarked_S,cat__Pclass_1,Survived
0.149065068850354,0.016923938321562648,1.0,0.0,1.0,0.0,0.0,1.0,1
-0.04322950044060063,-0.34461615311059085,1.0,0.0,0.0,0.0,1.0,1.0,1
1.1746361050687786,-0.3692214702503449,0.0,1.0,0.0,0.0,1.0,1.0,0
-2.030273383113798,-1.0683604309991144,1.0,0.0,0.0,0.0,1.0,1.0,1
1.4310288641233844,-0.8725120481089508,1.0,0.0,0.0,0.0,1.0,1.0,1
-0.10732769020425227,-1.1419278438614093,0.0,1.0,0.0,0.0,1.0,1.0,1
-0.4919168287861612,-0.6945584413204263,0.0,1.0,0.0,0.0,1.0,1.0,1
-1.068800536659025,2.1874946652713727,0.0,1.0,0.0,0.0,1.0,1.0,0
0.8541451562505209,0.12520522851258226,1.0,0.0,1.0,0.0,0.0,1.0,1
1.8797161924689454,-0.16807026870872877,0.0,1.0,1.0,0.0,0.0,1.0,0
0.5977523971959149,0.259332540319736,0.0,1.0,0.0,0.0,1.0,1.0,0
-0.4278186390225099,-1.1916355552548519,1.0,0.0,0.0,0.0,1.0,1.0,1
-0.6842113980771158,-1.2483023462433764,0.0,1.0,0.0,0.0,1.0,1.0,0
-0.8124077776044188,2.1874946652713727,1.0,0.0,0.0,0.0,1.0,1.0,1
0.6618505869595666,-0.1840602453097714,0.0,1.0,0.0,0.0,1.0,1.0,0
2.2643053310508545,-0.7113755542390559,0.0,1.0,1.0,0.0,0.0,1.0,0
-0.8124077776044188,-0.14064950679565014,0.0,1.0,1.0,0.0,0.0,1.0,1
-0.9406041571317222,0.13630595462096573,0.0,1.0,0.0,0.0,1.0,1.0,0
0.7259487767232176,-0.3664875461237055,0.0,1.0,0.0,0.0,1.0,1.0,0
-0.7483095878407675,2.1874946652713727,0.0,1.0,1.0,0.0,0.0,1.0,0
-0.20347497484972943,-1.1419278438614093,1.0,0.0,0.0,0.0,1.0,1.0,1
1.1746361050687786,0.13630595462096573,0.0,1.0,0.0,0.0,1.0,1.0,0
-1.068800536659025,-0.8778148667604032,1.0,0.0,0.0,0.0,1.0,1.0,1
0.08496687908670236,-0.34461615311059085,0.0,1.0,0.0,0.0,1.0,1.0,0
-0.7483095878407675,0.1743323538369496,0.0,1.0,1.0,0.0,0.0,1.0,0
0.05291778420487654,-0.8834477446155081,0.0,1.0,0.0,0.0,1.0,1.0,0
-0.8765059673680705,-0.07619451158600127,1.0,0.0,0.0,0.0,1.0,1.0,1
1.6233234334143394,-0.7343246104351804,0.0,1.0,0.0,0.0,1.0,1.0,0
1.3028324845960817,-0.7900807561509772,0.0,1.0,1.0,0.0,0.0,1.0,0
0.9182433460141725,-0.829514877753623,1.0,0.0,1.0,0.0,0.0,1.0,0
-2.222567952404752,-0.6249676453696068,0.0,1.0,0.0,0.0,1.0,1.0,1
-2.0943715728774492,-0.8834477446155081,0.0,1.0,0.0,0.0,1.0,1.0,1
0.5336542074322632,-0.8492329327091738,1.0,0.0,1.0,0.0,0.0,1.0,1
1.4310288641233844,1.5128775127072167,1.0,0.0,1.0,0.0,0.0,1.0,1
-2.158469762641101,-1.1923811709257535,1.0,0.0,0.0,0.0,1.0,1.0,0
0.277261448377657,-0.7840323218286231,0.0,1.0,1.0,0.0,0.0,1.0,1
-0.2996222594952069,0.8518484601295714,1.0,0.0,1.0,0.0,0.0,1.0,1
-0.23552406973155526,0.11650637901872997,1.0,0.0,1.0,0.0,0.0,1.0,1
0.149065068850354,0.3890696670566213,0.0,1.0,0.0,0.0,1.0,1.0,1
-0.04322950044060063,0.259332540319736,1.0,0.0,0.0,0.0,1.0,1.0,1
0.5336542074322632,0.3890696670566213,0.0,1.0,0.0,1.0,0.0,1.0,0
0.08496687908670236,-0.35546834066200717,0.0,1.0,0.0,0.0,1.0,1.0,1
-0.4278186390225099,-1.1923811709257535,1.0,0.0,0.0,0.0,1.0,1.0,0
1.6874216231779904,-0.8725120481089508,0.0,1.0,0.0,0.0,1.0,1.0,0
-0.36372044925885827,0.31947887110580175,1.0,0.0,0.0,0.0,1.0,1.0,1
